theta_deg	R_normalised
0.04775	0.192676
0.04925	0.193536
0.05075	0.199175
0.05225	0.204897
0.05375	0.212666
0.05525	0.220544
0.05675	0.230062
0.05825	0.240974
0.05975	0.248255
0.06125	0.254796
0.06275	0.258543
0.06425	0.264838
0.06575	0.271722
0.06725	0.280259
0.06875	0.29075
0.07025	0.302417
0.07175	0.315064
0.07325	0.325621
0.07475	0.332211
0.07625	0.336003
0.07775	0.342964
0.07925	0.352689
0.08075	0.361831
0.08225	0.375246
0.08375	0.387623
0.08525	0.398211
0.08675	0.406286
0.08825	0.408699
0.08975	0.415137
0.09125	0.423636
0.09275	0.435254
0.09425	0.449281
0.09575	0.466226
0.09725	0.480296
0.09875	0.492779
0.10025	0.498678
0.10175	0.505115
0.10325	0.509628
0.10475	0.517201
0.10625	0.528174
0.10775	0.540601
0.10925	0.555237
0.11075	0.566755
0.11225	0.575294
0.11375	0.581405
0.11525	0.586678
0.11675	0.593527
0.11825	0.603698
0.11975	0.616268
0.12125	0.63093
0.12275	0.648578
0.12425	0.661164
0.12575	0.668372
0.12725	0.671997
0.12875	0.677943
0.13025	0.685551
0.13175	0.69424
0.13325	0.707226
0.13475	0.719759
0.13625	0.734709
0.13775	0.741027
0.13925	0.744275
0.14075	0.747904
0.14225	0.753984
0.14375	0.761122
0.14525	0.771982
0.14675	0.78959
0.14825	0.803575
0.14975	0.81633
0.15125	0.821962
0.15275	0.825168
0.15425	0.826529
0.15575	0.832607
0.15725	0.841968
0.15875	0.853527
0.16025	0.865134
0.16175	0.875823
0.16325	0.880958
0.16475	0.885897
0.16625	0.887027
0.16775	0.891171
0.16925	0.89709
0.17075	0.90604
0.17225	0.921147
0.17375	0.931242
0.17525	0.943555
0.17675	0.948365
0.17825	0.947219
0.17975	0.947608
0.18125	0.948979
0.18275	0.955059
0.18425	0.961144
0.18575	0.968785
0.18725	0.973471
0.18875	0.97842
0.19025	0.975901
0.19175	0.976752
0.19325	0.978702
0.19475	0.979201
0.19625	0.983555
0.19775	0.989221
0.19925	0.995652
0.20075	1
0.20225	0.999465
0.20375	0.99759
0.20525	0.995835
0.20675	0.993248
0.20825	0.992652
0.20975	0.990282
0.21125	0.991297
0.21275	0.987775
0.21425	0.981706
0.21575	0.972972
0.21725	0.958927
0.21875	0.939825
0.22025	0.913821
0.22175	0.886309
0.22325	0.862011
0.22475	0.836438
0.22625	0.814201
0.22775	0.796301
0.22925	0.778088
0.23075	0.766537
0.23225	0.759063
0.23375	0.755247
0.23525	0.751608
0.23675	0.752779
0.23825	0.750964
0.23975	0.747428
0.24125	0.739787
0.24275	0.730906
0.24425	0.722435
0.24575	0.714297
0.24725	0.708712
0.24875	0.703552
0.25025	0.700849
0.25175	0.695223
0.25325	0.685098
0.25475	0.671511
0.25625	0.658156
0.25775	0.643873
0.25925	0.630003
0.26075	0.616155
0.26225	0.601343
0.26375	0.585081
0.26525	0.566996
0.26675	0.545761
0.26825	0.522045
0.26975	0.498039
0.27125	0.476007
0.27275	0.452418
0.27425	0.430451
0.27575	0.410992
0.27725	0.389844
0.27875	0.368489
0.28025	0.349863
0.28175	0.328426
0.28325	0.310189
0.28475	0.292846
0.28625	0.27807
0.28775	0.264179
0.28925	0.251337
0.29075	0.238144
0.29225	0.225766
0.29375	0.214706
0.29525	0.201984
0.29675	0.191908
0.29825	0.182624
0.29975	0.174559
0.30125	0.168777
0.30275	0.163047
0.30425	0.157139
0.30575	0.151342
0.30725	0.14654
0.30875	0.141358
0.31025	0.135147
0.31175	0.129173
0.31325	0.12409
0.31475	0.118351
0.31625	0.113706
0.31775	0.107866
0.31925	0.103592
0.32075	0.0997422
0.32225	0.0965309
0.32375	0.0937801
0.32525	0.0933876
0.32675	0.0909447
0.32825	0.089566
0.32975	0.0881892
0.33125	0.0856385
0.33275	0.0829649
0.33425	0.0800587
0.33575	0.0764707
0.33725	0.0733506
0.33875	0.0695188
0.34025	0.0662201
0.34175	0.0630023
0.34325	0.060231
0.34475	0.05879
0.34625	0.0568244
0.34775	0.0557341
0.34925	0.0552681
0.35075	0.0547406
0.35225	0.0550215
0.35375	0.0547545
0.35525	0.0548085
0.35675	0.0537852
0.35825	0.053281
0.35975	0.0519144
0.36125	0.050213
0.36275	0.0481655
0.36425	0.0452956
0.36575	0.0429104
0.36725	0.0405773
0.36875	0.0381605
0.37025	0.0360134
0.37175	0.0343501
0.37325	0.0332998
0.37475	0.0327854
0.37625	0.0325277
0.37775	0.0325686
0.37925	0.0329482
0.38075	0.0334607
0.38225	0.034098
0.38375	0.0342766
0.38525	0.0348152
0.38675	0.0343473
0.38825	0.0338533
0.38975	0.0332654
0.39125	0.0317491
0.39275	0.0309034
0.39425	0.0287945
0.39575	0.0269675
0.39725	0.0249088
0.39875	0.0235264
0.40025	0.0218361
0.40175	0.020637
0.40325	0.0198668
0.40475	0.0193263
0.40625	0.0189291
0.40775	0.0190239
0.40925	0.0193198
0.41075	0.019717
0.41225	0.0204742
0.41375	0.0207003
0.41525	0.0214203
0.41675	0.0219775
0.41825	0.0221171
0.41975	0.0220734
0.42125	0.0221403
0.42275	0.0210436
0.42425	0.0203672
0.42575	0.0198305
0.42725	0.0183253
0.42875	0.0171029
0.43025	0.0160071
0.43175	0.014781
0.43325	0.013767
0.43475	0.0128702
0.43625	0.0120683
0.43775	0.0116627
0.43925	0.0116367
0.44075	0.0115037
0.44225	0.0118116
0.44375	0.0123344
0.44525	0.0130126
0.44675	0.0133186
0.44825	0.0139
0.44975	0.0146954
0.45125	0.0147317
0.45275	0.0153103
0.45425	0.015074
0.45575	0.014955
0.45725	0.0144675
0.45875	0.0140098
0.46025	0.0133354
0.46175	0.0121939
0.46325	0.0111064
0.46475	0.0103241
0.46625	0.00940034
0.46775	0.00864776
0.46925	0.00796215
0.47075	0.00737329
0.47225	0.0070663
0.47375	0.0068542
0.47525	0.00697886
0.47675	0.00718631
0.47825	0.00769609
0.47975	0.00798168
0.48125	0.00856496
0.48275	0.00918824
0.48425	0.00969896
0.48575	0.0103511
0.48725	0.0104739
0.48875	0.0104897
0.49025	0.0106795
0.49175	0.010552
0.49325	0.0100776
0.49475	0.00977896
0.49625	0.00930917
0.49775	0.00851845
0.49925	0.00764028
0.50075	0.00696583
0.50225	0.00624953
0.50375	0.00562439
0.50525	0.00499832
0.50675	0.00457412
0.50825	0.0043462
0.50975	0.0041341
0.51125	0.00434713
0.51275	0.00442156
0.51425	0.00479273
0.51575	0.00520019
0.51725	0.0056309
0.51875	0.00617325
0.52025	0.00663001
0.52175	0.0070263
0.52325	0.00752958
0.52475	0.00777796
0.52625	0.00787098
0.52775	0.007804
0.52925	0.00766539
0.53075	0.00767935
0.53225	0.00725515
0.53375	0.0068942
0.53525	0.00621883
0.53675	0.00573044
0.53825	0.00501786
0.53975	0.00439923
0.54125	0.00382619
0.54275	0.00345687
0.54425	0.00304755
0.54575	0.00280754
0.54725	0.0026987
0.54875	0.00281033
0.55025	0.00292476
0.55175	0.00321686
0.55325	0.00354431
0.55475	0.00405317
0.55625	0.00444574
0.55775	0.00468761
0.55925	0.00532484
0.56075	0.00567742
0.56225	0.00586254
0.56375	0.00606441
0.56525	0.00635744
0.56675	0.00619092
0.56825	0.00606534
0.56975	0.00589975
0.57125	0.00556206
0.57275	0.00509507
0.57425	0.00470343
0.57575	0.00414062
0.57725	0.00360106
0.57875	0.00312011
0.58025	0.00261405
0.58175	0.00229962
0.58325	0.00209403
0.58475	0.00184658
0.58625	0.00181774
0.58775	0.00193867
0.58925	0.00203077
0.59075	0.00235916
0.59225	0.00258149
0.59375	0.00298336
0.59525	0.00338152
0.59675	0.00381967
0.59825	0.00428853
0.59975	0.00448667
0.60125	0.00485413
0.60275	0.00504576
0.60425	0.0051853
0.60575	0.00520856
0.60725	0.0051574
0.60875	0.00484111
0.61025	0.00462714
0.61175	0.00424946
0.61325	0.00379363
0.61475	0.00352478
0.61625	0.00296569
0.61775	0.00251172
0.61925	0.00213775
0.62075	0.0017489
0.62225	0.00153773
0.62375	0.0013647
0.62525	0.00122795
0.62675	0.0011926
0.62825	0.00128098
0.62975	0.00157866
0.63125	0.00180472
0.63275	0.00223543
0.63425	0.00256009
0.63575	0.00298802
0.63725	0.00337408
0.63875	0.00377967
0.64025	0.00405782
0.64175	0.00424574
0.64325	0.00449412
0.64475	0.00464389
0.64625	0.00449784
0.64775	0.00464668
0.64925	0.0043676
0.65075	0.00397782
0.65225	0.00361222
0.65375	0.00343361
0.65525	0.00301406
0.65675	0.00243172
0.65825	0.00210333
0.65975	0.0017089
0.66125	0.00134517
0.66275	0.00118609
0.66425	0.00103911
0.66575	0.000897707
0.66725	0.000960965
0.66875	0.00106702
0.67025	0.00127819
0.67175	0.00155541
0.67325	0.001841
0.67475	0.00213589
0.67625	0.00247637
0.67775	0.00295453
0.67925	0.00335268
0.68075	0.00367827
0.68225	0.00384944
0.68375	0.00421597
0.68525	0.00426899
0.68675	0.00420852
0.68825	0.00428481
0.68975	0.00405689
0.69125	0.00378246
0.69275	0.00352478
0.69425	0.00310151
0.69575	0.00278894
0.69725	0.00242893
0.69875	0.00202612
0.70025	0.00159448
0.70175	0.00135447
0.70325	0.00109027
0.70475	0.000809332
0.70625	0.000764679
0.70775	0.000789796
0.70925	0.000794447
0.71075	0.00102608
0.71225	0.0013154
0.71375	0.00158238
0.71525	0.00199728
0.71675	0.0022838
0.71825	0.00288848
0.71975	0.00320198
0.72125	0.00367548
0.72275	0.00383921
0.72425	0.00416945
0.72575	0.0044169
0.72725	0.00446993
0.72875	0.00451644
0.73025	0.00433225
0.73175	0.00413689
0.73325	0.00378525
0.73475	0.0035378
0.73625	0.00306523
0.73775	0.00273498
0.73925	0.00229032
0.74075	0.00178053
0.74225	0.00151447
0.74375	0.00114144
0.74525	0.000910731
0.74675	0.000748864
0.74825	0.000730259
0.74975	0.000787005
0.75125	0.00094329
0.75275	0.00117307
0.75425	0.00154517
0.75575	0.00201031
0.75725	0.00252474
0.75875	0.0030643
0.76025	0.00367548
0.76175	0.00415829
0.76325	0.00453877
0.76475	0.00489599
0.76625	0.00541508
0.76775	0.00567742
0.76925	0.0058123
0.77075	0.00566625
0.77225	0.0055909
0.77375	0.00532112
0.77525	0.00493041
0.77675	0.00453319
0.77825	0.0040634
0.77975	0.00345594
0.78125	0.00284755
0.78275	0.00232381
0.78425	0.00185216
0.78575	0.00139354
0.78725	0.00112748
0.78875	0.00087445
0.79025	0.000814913
0.79175	0.000913522
0.79325	0.00120097
0.79475	0.00159541
0.79625	0.00208287
0.79775	0.00285592
0.79925	0.00352943
0.80075	0.00450714
0.80225	0.00527461
0.80375	0.00618441
0.80525	0.0070877
0.80675	0.00785145
0.80825	0.00843286
0.80975	0.00899195
0.81125	0.00926731
0.81275	0.00929615
0.81425	0.00949337
0.81575	0.00926824
0.81725	0.00885706
0.81875	0.00815099
0.82025	0.00758167
0.82175	0.00667373
0.82325	0.005803
0.82475	0.00497041
0.82625	0.00405782
0.82775	0.003095
0.82925	0.00252846
0.83075	0.00204193
0.83225	0.00176565
0.83375	0.00169774
0.83525	0.00197216
0.83675	0.00260009
0.83825	0.00349315
0.83975	0.00457412
0.84125	0.00583277
0.84275	0.00723561
0.84425	0.0089966
0.84575	0.0106339
0.84725	0.012513
0.84875	0.0141019
0.85025	0.0156945
0.85175	0.0171681
0.85325	0.0181327
0.85475	0.0185253
0.85625	0.0192258
0.85775	0.0189542
0.85925	0.0184481
0.86075	0.0176918
0.86225	0.016209
0.86375	0.0147177
0.86525	0.0133112
0.86675	0.0114423
0.86825	0.00953151
0.86975	0.00789145
0.87125	0.00657884
0.87275	0.00583928
0.87425	0.005643
0.87575	0.00637884
0.87725	0.00814448
0.87875	0.0112404
0.88025	0.0156257
0.88175	0.0214668
0.88325	0.028761
0.88475	0.0374944
0.88625	0.0480771
0.88775	0.0596663
0.88925	0.0723124
0.89075	0.0854654
0.89225	0.0996799
0.89375	0.114367
0.89525	0.128935
0.89675	0.143905
0.89825	0.158967
0.89975	0.172638
0.90125	0.185194
0.90275	0.198537
0.90425	0.209911
0.90575	0.218648
0.90725	0.227965
0.90875	0.235485
0.91025	0.241165
0.91175	0.245748
0.91325	0.247818
0.91475	0.250002
0.91625	0.24912
0.91775	0.249309
0.91925	0.246705
0.92075	0.241775
0.92225	0.236572
0.92375	0.230704
0.92525	0.223274
0.92675	0.214682
0.92825	0.205548
0.92975	0.195217
0.93125	0.185171
0.93275	0.173606
0.93425	0.161309
0.93575	0.148777
0.93725	0.135724
0.93875	0.123178
0.94025	0.110989
0.94175	0.0980845
0.94325	0.0868487
0.94475	0.0748102
0.94625	0.0650675
0.94775	0.054722
0.94925	0.0456789
0.95075	0.0374014
0.95225	0.0299583
0.95375	0.0237162
0.95525	0.0185653
0.95675	0.0145261
0.95825	0.0113381
0.95975	0.00901335
0.96125	0.00740957
0.96275	0.0064914
0.96425	0.00617139
0.96575	0.00631
0.96725	0.00668117
0.96875	0.00744957
0.97025	0.008271
0.97175	0.00922173
0.97325	0.00989431
0.97475	0.0105343
0.97625	0.0111195
0.97775	0.011392
0.97925	0.0115306
0.98075	0.0114637
0.98225	0.0112302
0.98375	0.0108804
0.98525	0.0101669
0.98675	0.00954546
0.98825	0.00858357
0.98975	0.00734445
0.99125	0.0065528
0.99275	0.00579091
0.99425	0.00478715
0.99575	0.0039927
0.99725	0.00330152
0.99875	0.00262986
1.00025	0.0022652
1.00175	0.00186704
1.00325	0.00164006
1.00475	0.00157959
1.00625	0.00161866
1.00775	0.00171448
1.00925	0.00187821
1.01075	0.00217775
1.01225	0.00231078
1.01375	0.002628
1.01525	0.00286615
1.01675	0.00316384
1.01825	0.00340105
1.01975	0.00354618
1.02125	0.0036485
1.02275	0.00367176
1.02425	0.00352013
1.02575	0.00333035
1.02725	0.00313593
1.02875	0.00297778
1.03025	0.00268568
1.03175	0.00247079
1.03325	0.00220938
1.03475	0.00187635
1.03625	0.0016782
1.03775	0.00136749
1.03925	0.00110051
1.04075	0.000933987
1.04225	0.000771191
1.04375	0.000669792
1.04525	0.000626999
1.04675	0.000600952
1.04825	0.000635372
1.04975	0.000711654
1.05125	0.000760958
1.05275	0.000888404
1.05425	0.00109957
1.05575	0.00119725
1.05725	0.00133028
1.05875	0.00140656
1.06025	0.0015461
1.06175	0.00161122
1.06325	0.0016596
1.06475	0.00180844
1.06625	0.00164006
1.06775	0.00164471
1.06925	0.00157587
1.07075	0.00152564
1.07225	0.00141866
1.07375	0.00132656
1.07525	0.00113399
1.07675	0.000968407
1.07825	0.000792587
1.07975	0.000707933
1.08125	0.000606534
1.08275	0.000506065
1.08425	0.000443737
1.08575	0.000368385
1.08725	0.00034885
1.08875	0.000328384
1.09025	0.000333035
1.09175	0.000363734
1.09325	0.000441876
1.09475	0.000512577
1.09625	0.000562811
1.09775	0.000655838
1.09925	0.00073212
1.10075	0.000791657
1.10225	0.000914452
1.10375	0.000914452
1.10525	0.000910731
1.10675	0.000950732
1.10825	0.000965616
1.10975	0.000898637
1.11125	0.00090701
1.11275	0.000853054
1.11425	0.000811192
1.11575	0.000727468
1.11725	0.000667931
1.11875	0.000577695
1.12025	0.000540485
1.12175	0.000439086
1.12325	0.000373967
1.12475	0.000328384
1.12625	0.000260475
1.12775	0.000240009
1.12925	0.000213961
1.13075	0.000200938
1.13225	0.000202798
1.13375	0.000240939
1.13525	0.000261405
1.13675	0.000323733
1.13825	0.000328384
1.13975	0.00041862
1.14125	0.000432574
1.14275	0.000520949
1.14425	0.000544206
1.14575	0.000598161
1.14725	0.000589789
1.14875	0.000575835
1.15025	0.000597231
1.15175	0.000589789
1.15325	0.000548857
1.15475	0.000534903
1.15625	0.000510716
1.15775	0.000516298
1.15925	0.000413969
1.16075	0.000373967
1.16225	0.000324663
1.16375	0.000272568
1.16525	0.000235357
1.16675	0.000199077
1.16825	0.000171169
1.16975	0.000154424
1.17125	0.000137679
1.17275	0.000112562
1.17425	0.000120935
1.17575	0.00013954
1.17725	0.000184193
1.17875	0.000187914
1.18025	0.000222334
1.18175	0.000270707
1.18325	0.000296755
1.18475	0.000306058
1.18625	0.000345129
1.18775	0.000380479
1.18925	0.000367455
1.19075	0.000376758
1.19225	0.000423271
1.19375	0.000416759
1.19525	0.000377688
1.19675	0.000386991
1.19825	0.00034792
1.19975	0.000368385
1.20125	0.000298615
1.20275	0.00028001
1.20425	0.000248381
1.20575	0.000204659
1.20725	0.000150703
1.20875	0.000144191
1.21025	0.000121865
1.21175	0.000108841
1.21325	8.27937e-05
1.21475	8.93056e-05
1.21625	7.72121e-05
1.21775	9.48872e-05
1.21925	0.000101399
1.22075	0.000127446
1.22225	0.000130237
1.22375	0.000147912
1.22525	0.000172099
1.22675	0.00021117
1.22825	0.000251172
1.22975	0.000254893
1.23125	0.000289313
1.23275	0.0003135
1.23425	0.000276289
1.23575	0.000317221
1.23725	0.000261405
1.23875	0.000274429
1.24025	0.00028094
1.24175	0.00024373
1.24325	0.000219543
1.24475	0.000206519
1.24625	0.000170239
1.24775	0.000131168
1.24925	0.000122795
1.25075	0.000120004
1.25225	8.83753e-05
1.25375	8.18634e-05
1.25525	6.69792e-05
1.25675	7.53516e-05
1.25825	4.83739e-05
1.25975	6.04673e-05
1.26125	8.46542e-05
1.26275	8.00029e-05
1.26425	7.90726e-05
1.26575	0.000124656
1.26725	0.00013861
1.26875	0.000172099
1.27025	0.00017582
1.27175	0.000185123
1.27325	0.000215822
1.27475	0.00021024
1.27625	0.000226055
1.27775	0.00020931
1.27925	0.000200007
1.28075	0.000207449
1.28225	0.000189774
1.28375	0.000197216
1.28525	0.000188844
1.28675	0.000164657
1.28825	0.00014047
1.28975	0.000133028
1.29125	0.000101399
1.29275	5.67462e-05
1.29425	6.23278e-05
1.29575	6.32581e-05
1.29725	4.46528e-05
1.29875	4.00015e-05
1.30025	4.00015e-05
1.30175	4.46528e-05
1.30325	4.46528e-05
1.30475	5.67462e-05
1.30625	5.5816e-05
1.30775	5.67462e-05
1.30925	9.20964e-05
1.31075	0.000116283
1.31225	0.000108841
1.31375	0.000146052
1.31525	0.000155354
1.31675	0.000154424
1.31825	0.000149773
1.31975	0.000160006
1.32125	0.000149773
1.32275	0.000153494
1.32425	0.000152564
1.32575	0.000152564
1.32725	0.000133028
1.32875	0.000113492
1.33025	0.00010512
1.33175	0.000100469
1.33325	7.62818e-05
1.33475	7.25608e-05
1.33625	6.51186e-05
1.33775	5.67462e-05
1.33925	3.53501e-05
1.34075	3.16291e-05
1.34225	2.32567e-05
1.34375	3.34896e-05
1.34525	3.72107e-05
1.34675	3.44199e-05
1.34825	3.62804e-05
1.34975	4.37225e-05
1.35125	6.51186e-05
1.35275	8.83753e-05
1.35425	8.55845e-05
1.35575	9.11661e-05
1.35725	0.000116283
1.35875	0.000129307
1.36025	0.000122795
1.36175	0.000123725
1.36325	0.000146052
1.36475	0.000134889
1.36625	0.00013861
1.36775	0.000151633
1.36925	0.000128377
1.37075	0.000114423
1.37225	0.000109771
1.37375	8.93056e-05
1.37525	9.7678e-05
1.37675	7.25608e-05
1.37825	5.86068e-05
1.37975	4.46528e-05
1.38125	4.83739e-05
1.38275	2.97685e-05
1.38425	2.88383e-05
1.38575	1.58145e-05
1.38725	2.32567e-05
1.38875	3.16291e-05
1.39025	3.44199e-05
1.39175	4.00015e-05
1.39325	5.5816e-05
1.39475	5.5816e-05
1.39625	6.13976e-05
1.39775	8.46542e-05
1.39925	7.3491e-05
1.40075	9.58174e-05
1.40225	0.000107911
1.40375	0.000111632
1.40525	0.000127446
1.40675	0.000120004
1.40825	0.00013861
1.40975	0.000112562
1.41125	0.000102329
1.41275	0.000113492
1.41425	9.95385e-05
1.41575	8.27937e-05
1.41725	6.41884e-05
1.41875	5.11646e-05
1.42025	5.02344e-05
1.42175	5.30252e-05
1.42325	3.53501e-05
1.42475	2.88383e-05
1.42625	2.51172e-05
1.42775	3.44199e-05
1.42925	1.67448e-05
1.43075	7.44213e-06
1.43225	1.95356e-05
1.43375	2.69777e-05
1.43525	4.65133e-05
1.43675	3.81409e-05
1.43825	5.11646e-05
1.43975	4.37225e-05
1.44125	7.44213e-05
1.44275	6.69792e-05
1.44425	9.58174e-05
1.44575	8.09332e-05
1.44725	0.000117214
1.44875	0.00010419
1.45025	0.000122795
1.45175	0.000133958
1.45325	8.93056e-05
1.45475	0.000120935
1.45625	8.83753e-05
1.45775	8.7445e-05
1.45925	7.53516e-05
1.46075	6.60489e-05
1.46225	5.76765e-05
1.46375	4.5583e-05
1.46525	4.83739e-05
1.46675	2.32567e-05
1.46825	2.23264e-05
1.46975	1.95356e-05
1.47125	1.95356e-05
1.47275	1.20935e-05
1.47425	1.20935e-05
1.47575	2.23264e-05
1.47725	2.32567e-05
1.47875	3.06988e-05
1.48025	5.02344e-05
1.48175	4.1862e-05
1.48325	6.32581e-05
1.48475	5.48857e-05
1.48625	7.53516e-05
1.48775	7.53516e-05
1.48925	0.00010419
1.49075	8.7445e-05
1.49225	0.00010326
1.49375	0.000118144
1.49525	8.18634e-05
1.49675	9.86082e-05
1.49825	0.000109771
1.49975	0.000108841
1.50125	7.90726e-05
1.50275	7.07002e-05
1.50425	6.41884e-05
1.50575	4.93041e-05
1.50725	4.65133e-05
1.50875	3.06988e-05
1.51025	3.16291e-05
1.51175	2.60475e-05
1.51325	1.76751e-05
1.51475	1.20935e-05
1.51625	1.02329e-05
1.51775	1.67448e-05
1.51925	2.51172e-05
1.52075	2.69777e-05
1.52225	1.95356e-05
1.52375	2.51172e-05
1.52525	4.00015e-05
1.52675	5.02344e-05
1.52825	5.11646e-05
1.52975	7.90726e-05
1.53125	5.67462e-05
1.53275	7.25608e-05
1.53425	9.39569e-05
1.53575	0.00010512
1.53725	0.00010419
1.53875	8.93056e-05
1.54025	9.48872e-05
1.54175	9.39569e-05
1.54325	7.07002e-05
1.54475	8.7445e-05
1.54625	6.51186e-05
1.54775	6.32581e-05
1.54925	6.32581e-05
1.55075	4.74436e-05
1.55225	4.1862e-05
1.55375	3.16291e-05
1.55525	1.95356e-05
1.55675	1.95356e-05
1.55825	2.32567e-05
1.55975	2.23264e-05
1.56125	2.13961e-05
1.56275	1.20935e-05
1.56425	2.97685e-05
1.56575	2.7908e-05
1.56725	4.27923e-05
1.56875	3.53501e-05
